id,name,freq_pct,definition,in_scope,out_of_scope,sample_quotes,classification_note,keywords_indicative
T01,Content Volume & Game Length,30,"Reviews expressing that the game contains insufficient content relative to expectations, that the main story or overall runtime feels too short, or that content was artificially padded (fetch quests, repeated encounters) to inflate perceived length.",Main story completion time described as too short; Claims of padding/filler to justify price; Comparison to expected DLC vs full-game content depth; Insufficient side content/activities; Lack of post-game or replayability content,Price complaints without content critique -> T02; Repetitive mission design as quality issue -> T09; Map size as physical space -> T03,"""The story is short DESPITE the fact that it is 75% filler junk added to pad the runtime in order to justify a 60$ price tag."" [943 votes, 18h] | ""After 25 hours in the game I can safely say it's not worth the price. Game is deceptively short."" [453 votes, 25h]",Often co-occurs with T02 and T09. Apply T01 when critique is about total content volume or runtime. A review can carry both T01+T02 in multi-label setup.,"too short, short game, padded, filler, not enough content, DLC-length, replayability"
T02,Price-to-Value Perception,33,"Reviews where the central complaint is the perceived mismatch between the retail price ($60-$70) and what the game delivers. Often frames the game as DLC-priced content sold as a full title, or explicitly mentions feeling ripped off or requesting a refund.","Explicit mention of price ($60, $70) as unjustified; Statements of regret over purchase; Comparisons to DLC pricing expectations; Calls to buy only on sale; Refund requests",Short game length as standalone critique (no price mention) -> T01; Comparisons to DL1/DL2 scope without price mention -> T01,"""Right off the bat ill say that this game really should have stayed as DLC."" [943 votes, 18h] | ""Just DLC for 60€. Not worth 60€, 40€ is a much better price."" [40 votes, 7h]",Use when negative sentiment is primarily anchored to the purchase price. Can co-exist with T01. 'Not worth it' without price reference -> T02 if purchase regret framing is clear.,"price, $60, $70, 60€, not worth, refund, rip off, overpriced, DLC price, full price"
T03,World Design & Map Size,29,"Complaints about the physical size or variety of the game world: only one map where two was the series norm, a world that feels too small for price/expectation, too much open wilderness with insufficient parkour-friendly urban areas, or repetitive environmental assets.",World described as too small for a full-priced game; Expectation of two maps based on DL1/DL2 precedent; Open wilderness areas described as empty or uninteresting; Too few urban zones for parkour; Lack of environmental variety,"No fast travel making traversal tedious -> T12; World content (quests, activities) being sparse -> T01; Parkour mechanics themselves -> T05","""For starters there's only one map, as opposed to the two maps that's become standard for the series. You've got a small corner that's nice to hop rooftop to rooftop in, but the rest is just wilderness."" [943 votes, 18h]",Distinguish from T12: T03 is about the world being too small/empty; T12 is about no fast travel making traversal tedious. A review can hold both labels.,"small map, one map, tiny map, empty world, open wilderness, single map, map size, not enough urban"
T04,Story & Narrative Quality,55,"Critique of the game's narrative execution: the main plot being predictable or clichéd, the villain (Baron) being under-developed or cartoonish, supporting characters being flat, fetch-quest structure dominating story missions, plot inconsistencies, or a weak/anti-climactic ending.",Predictable or clichéd main plot; Villain (Baron) under-developed or not threatening; Flat/forgettable supporting characters; Story missions structured as boring fetch quests; Plot holes or inconsistencies; Weak/rushed/anti-climactic ending; Lack of meaningful player choices,Short story length as content-volume complaint -> T01; Boss fights being repetitive during story missions -> T08; Fetch quest structure as mission variety issue -> T09,"""The story is straightforward, lacking meaningful choices, with flat supporting characters and a weak antagonist, making it feel like a missed opportunity."" [68 votes, 21h] | ""When you defeat the Hybrid Baron instead of some awesome beast-against-beast finale, we get a lame flashback."" [453 votes, 25h]","High frequency partly inflated by broad keyword. Ensure review criticises story QUALITY, not just mentions story. Positive story mentions should NOT be labelled T04. Can co-occur with T09 (fetch quest structure spans both themes).","story is weak, plot, villain, baron, predictable, cliché, flat characters, weak ending, fetch quest, narrative, writing"
T05,Progression & Skill System,42,"Dissatisfaction with how player characters grow over time: removal of parkour XP that existed in Dying Light 1, a skill tree perceived as sparse or filled with reused abilities from prior games, slow or unsatisfying levelling pace, or the progression loop feeling unrewarding.","No XP awarded for parkour actions (regressed from DL1); Skill tree described as bare-bones, empty, or recycled; Slow XP/levelling pace on default difficulty; Beast skills feeling shallow or unlockable too slowly; Forced skill path to unlock desired abilities; Lack of meaningful build diversity",Beast Mode mechanics themselves (depth of beast abilities) -> T06; Weapon upgrade/crafting economy -> T11; Difficulty curve caused by enemy scaling -> T14,"""XP gains for differing actions were CUT. You get XP for killing mobs and completing quests. NO MORE PARKOUR EXP."" [824 votes, 2h] | ""Skill tree — a joke. In skill tree it's just the same stuff from DL1, just locked now."" [55 votes, 15h]",T05 = XP/levelling/skill-tree architecture. T06 = how Beast Mode plays in combat. A review saying 'Beast skills are boring to unlock' -> T05; 'Beast Mode just punches things' -> T06.,"skill tree, XP, parkour XP, no XP for parkour, progression, leveling, skill points, bare bones skills, reused skills"
T06,Beast Mode Mechanics,14,"Critique of the Beast Mode transformation as a gameplay mechanic: feeling shallow (primarily punching), becoming repetitive quickly, poor integration with combat variety, underpowered abilities relative to its narrative importance, or the mechanic failing to deliver on its potential.",Beast Mode described as one-dimensional (just punching/brawling); Beast abilities feeling gimmicky or underpowered; Mode becomes boring after initial novelty; Weak integration with story climax or final boss; Beast skill variety insufficient; Rage meter/activation design frustrations,Beast skill tree unlocking being slow or shallow -> T05; Final boss fight being anti-climactic narratively -> T04; Boss fights during Chimera hunts being repetitive -> T08,"""Beast mode skills having different features other than punching stuff (mainly what you'll do)."" [338 votes, 18h] | ""Cool for the first hour or two of gameplay but... the beast mode skills, though they look cool, are just whatever."" [60 votes, 26h]","Focused, specific theme. Apply when the reviewer addresses Beast Mode as a mechanic that underdelivers in gameplay. Distinguish from T05 (skill unlock system) and T08 (Chimera boss fights).","beast mode, beast form, just punching, beast skills shallow, beast transform, beast abilities, beast mode boring"
T07,Night Cycle & Atmosphere,26,"Complaints about the night cycle failing to deliver the tension, incentive, or unique gameplay loop that defined Dying Light 1 nights: insufficient rewards for venturing out at night, Dark Zones being equally accessible day and night, Volatile density that feels annoying rather than scary, or the loss of the stealth-and-evasion night experience.","Little or no gameplay incentive to go out at night; Dark Zones accessible and identical day/night; Volatiles too densely packed (annoyance over fear); Loss of DL1 night tension/stealth gameplay; Night described as a mandatory obstacle, not a compelling choice; 2x XP at night insufficient motivation",Volatiles as enemy type in combat difficulty -> T14; Technical bugs related to night (permanent night visual bug) -> T10; Dark Zone loot rewards being flat -> T11,"""There is no incentive to go out at night. In older games, dark zones would be filled with loot. In this game, the dark zones are the same day and night."" [24 votes, 46h] | ""Nights are harder but not scarier. The volatile spawn is so dense that it takes away the scary factor."" [24 votes, 46h]",Strong franchise-context theme. Apply when core complaint is about night cycle design or incentive structure. 'Nights too difficult' without incentive critique -> T14. 'No reason to go out at night' -> T07.,"no incentive at night, dark zones same day night, volatiles too many, night cycle boring, no reason to go at night, night not scary, DL1 night better"
T08,Boss & Enemy Encounter Design,16,"Criticism of how enemy encounters and boss fights are designed: too few boss archetypes reused throughout the game, boss fights lacking variety in attack patterns or defeat strategies, repetitive kill animations, weak or anti-climactic final boss mechanics, and enemy AI during combat being frustrating (dodge-spam, teleporting, buggy hitboxes).",Only 2-3 boss types recycled across the entire game; Boss fights requiring no strategy ('just hit it till it dies'); Repetitive finishing animations; Final boss as mechanical/narrative letdown; Human enemy AI excessively dodging or spamming grenades; Enemy hitboxes described as broken; Level-scaling making enemies feel spongy,Combat system depth/weapon feel (non-boss) -> T14; Beast Mode attacks during boss fights -> T06; Bugs causing boss immortality -> T10,"""There are about 3 boss types that the game reuses throughout the story. I despise the bosses."" [943 votes, 18h] | ""Killing the Chimeras for extra powers is cool the first few times but ends up being the same fights with no weaknesses other than just 'hit it till it dies'."" [66 votes, 24h]",Can co-occur with T09 (repetitive activities) and T04 (weak narrative ending). Focus: is the complaint about encounter DESIGN (T08) vs. mission STRUCTURE (T09) vs. story payoff (T04)? Boss fights as narrative letdowns often warrant both T04+T08.,"boss types, boss fights boring, same boss, boss design, boss fight repetitive, final boss, enemy AI, hitboxes, enemies dodge too much, chimera fight"
T09,Mission Design & Activity Repetitiveness,18,"Dissatisfaction with how quests and open-world activities are structured: excessive fetch quests (go to location A, bring item to B), point-A-to-B-to-A padding, Dark Zones lacking variety across the map, the same mission template reused throughout, or the open world feeling hollow and lacking meaningful activities.",Story missions as fetch quests/running errands; Point A->B->A mission structure that wastes time; Dark Zones as repetitive template-driven activities; Open world described as empty or lacking unique encounters; Side quests described as generic or forgettable; Activity variety insufficient over full playtime,"Game length being short overall -> T01; Story quality (writing, characters) -> T04; Boss fights being repetitive -> T08","""A huge portion of this game's story is annoying (and boring) boss fights and fetch quests."" [943 votes, 18h] | ""The story is repetitive too, framed around hunting chimeras and doing similar tasks for survivor groups."" [195 votes, 24h]",T09 = HOW quests/activities are designed (structure and variety). T01 = how many there are. T04 = how well the story is written. 'Same 3 quest types repeated 20 times' -> T09. 'Only 20 quests total' -> T01.,"repetitive quests, fetch quest, point A to B, same mission, same activity, dark zone repetitive, mission variety, copy paste quests"
T10,Technical Issues & Bugs,36,"Reports of technical malfunctions: game crashes (particularly during or after cutscenes), parkour movement bugs (missed ledge grabs, unexpected slides), visual glitches (indoor rain, permanent day/night), co-op synchronisation issues (day/night state mismatch between players), and quest-trigger bugs that prevent completion.","Game crashes during/after cutscenes or loading; Parkour ledge-grab failures causing falls; Visual bugs (rain indoors, stuck in night/day mode); Co-op state desynchronisation; Quest/interaction bugs blocking progress; Enemy immortality glitches in co-op; Performance drops/stutters/FPS issues",Parkour feel/design critique (not bugs) -> T05 or T03; Save system design complaints (not crashes) -> T15; Co-op design/balance issues (not bugs) -> T13,"""Parkour is weak and bugged. Sometimes Crane gets bugged during parkour and glitches on top of things, lets go of things, or just slides down a wall instead of grabbing the ledges."" [453 votes, 25h] | ""Random crashes during and outside of cutscenes. Bugs such as raining indoors or permanently raining."" [104 votes, 22h]","Apply when reviewer describes a clear technical malfunction, not a design decision. 'Parkour feels imprecise' = design (T05). 'Crane fails to grab obvious ledges and I die' = bug (T10). Both labels may apply if reviewer conflates the two.","bug, crash, glitch, bugged parkour, ledge grab fail, stutter, FPS drop, visual bug, indoor rain, permanent night bug, quest bug, broken"
