code_id,label,first_review,themes,category,quote_fragment
C01,story-padded-with-filler-content,1,"T01, T09",Content / Value,huge portion of this games story are annoying (and boring) boss fights and fetch quests
C02,boss-types-recycled-reused,1,T08,Content / Value,There are about 3 boss types that the game reuses throughout the story
C03,game-too-short-justifies-high-price,1,"T01, T02",Content / Value,pad the runtime in order to justify a 60$ price tag
C04,no-replayability-no-branching-paths,3,T01,Content / Value,doesn't have any branching path or offer any replayability
C05,game-should-be-DLC-not-full-game,7,"T01, T02",Content / Value,This is a DLC pack for Dying Light 2 that they shoved a bunch of filler into
C06,content-feels-unfinished-half-cooked,2,T01,Content / Value,"it feels unfinished, like content was left out"
C07,asset-reuse-from-DL2,29,T01,Content / Value,Reused a ton of assets then charging $60 for it
C08,cut-content-resold-as-separate-DLC,29,T02,Content / Value,cut and resold content which was not included for buying the ultimate edition prior
C09,plot-logic-broken-by-side-quests,3,T04,Story / Narrative,The plot of the game stops making any sense if you actually do side missions
C10,Kyle-motivation-inconsistent-with-DL1,2,T04,Story / Narrative,Kyle also seems to have inconsistent motivations with what was shown in the first game
C11,lore-UV-light-rule-contradicts-gameplay,2,T04,Story / Narrative,ALL infected are affected by UV lights... BUT the basics are shown to hang out in the SUN
C12,story-predictable-clichéd-overall,5,T04,Story / Narrative,some of the writing is awful. Not once but twice did survivors insist that the Baron is the real monster
C13,villain-Baron-generic-one-dimensional,3,T04,Story / Narrative,"The Baron, the main villain is just the typical, evil British dude who wears turtlenecks"
C14,quest-decisions-no-consequence-no-follow-up,5,"T04, T09",Story / Narrative,"Some quest chains have a decision at the end, but these don't lead anywhere because there is zero follow-up"
C15,supporting-characters-vanish-after-purpose,5,T04,Story / Narrative,Major characters vanish from the world after they've served a purpose
C16,story-second-half-degrades-into-grind,15,"T04, T09",Story / Narrative,"the game turns into a pure fetch quest, completely stops evolving in terms of gameplay"
C17,ending-boss-fight-anticlimactic,3,"T04, T08",Story / Narrative,we get a lame flashback of Kyle's earlier imprisonment... he just punches it off a ledge
C18,cutscene-removes-player-agency-stupidly,20,T04,Story / Narrative,Three times in the first 20 hours have I had cutscenes with stupid outcomes where Crane could have easily fought back
C19,dialogue-cringe-poor-quality,24,T04,Story / Narrative,dialogue has to be the cringiest shit ive ever heard... exactly what the characters in a tekken campaign sound like
C20,Kyle-reaction-internally-inconsistent,3,T04,Story / Narrative,Kyle was ready to murder Sheriff... Olivia literally orchestrated events... and he just goes 'okay'
C21,antagonist-motivation-never-explained,18,T04,Story / Narrative,Why? What for? Why people are working for him? Do they have no choice?
C22,mission-pattern-kill-cable-haven-looped,26,T09,Mission Design,Mission 1: kill a chimera / Mission 2: setup a safe haven / Mission 3: connect a cable
C23,long-back-and-forth-travel-for-quests,13,"T09, T12",Mission Design,"make you travel five minutes to talk to someone for two seconds, then travel five minutes back"
C24,cable-plug-in-only-puzzle-in-game,20,T09,Mission Design,I'm already tired of pulling cables as the only 'puzzle' in the game
C25,fetch-quests-dominate-quest-design,5,T09,Mission Design,All Kyle seems to be doing is running fetch tasks and plugging in cables
C26,linear-ledge-climb-sequences-in-quests,5,T09,Mission Design,Too often you are sent to a location to climb a long and linear path of ledges
C27,tower-climbs-repeated-as-objective,9,T09,Mission Design,"stop making us climb towers! Why do you insist that a good gameplay loop is climb this, then climb that"
C28,looting-same-locations-repeatedly,23,"T09, T11",Mission Design,Looting same places over and over again
C29,loot-rewards-scale-below-starting-items,26,T11,Mission Design,a dogshit knife that does +33% damage... pushing it to 120 damage which is less than your first ever item
C30,military-convoys-have-no-military-zombies,20,T09,Mission Design,Military convoys with zero military zombies around so you can't even open them
C31,single-map-not-two-as-series-standard,1,T03,World Design,"there's only one map, as opposed to the two maps that's become standard for the series"
C32,map-mostly-forest-poor-parkour-terrain,1,"T03, T17",World Design,most of the map is forest... wilderness is nowhere near as fun to run around in
C33,insufficient-urban-area-for-parkour,1,"T03, T17",World Design,there's just not enough city to enjoy this games parkour
C34,open-world-feels-empty-low-density,3,T03,World Design,mostly composed of massive open terrains that it simply filled with zombies
C35,world-exploration-unrewarding-little-loot,24,"T03, T11",World Design,not many places feel like you want to explore and when you do there is like 1-2 pieces of loot max
C36,environment-interiors-repetitive-layouts,18,T03,World Design,"when you've seen the same apartment or attic layout for the 10th time, it feels boring"
C37,dark-zones-same-layout-not-scary,11,"T09, T07",World Design,Dark zones in this game are pretty one-dimensional
