id,name,freq_kw_pct,freq_est_pct,diverge,new_theme,definition,in_scope,out_of_scope,sample_quotes,classification_note,keywords_indicative
T01,Content Volume & Game Length,6,25,False,False,"Reviews expressing that the game contains insufficient content relative to expectations, that the main story or overall runtime feels too short, or that content was artificially padded (fetch quests, repeated encounters) to inflate perceived length.",Main story completion time described as too short; Claims of padding/filler to justify price; Comparison to expected DLC vs full-game content depth; Insufficient side content/activities; Lack of post-game or replayability,Price complaints without content critique -> T02; Repetitive mission design as quality issue -> T09; Map size as physical space -> T03,"""The story is short DESPITE the fact that it is 75% filler junk added to pad the runtime in order to justify a 60$ price tag."" [943 votes, 18h] | ""After 25 hours in the game I can safely say it's not worth the price. Game is deceptively short."" [453 votes, 25h]","WARNING: Keyword match rate (6%) severely underestimates true prevalence (~25%). Reviewers express this theme indirectly: 'finished in a weekend', 'not enough for the price', 'DLC at full price'. Classifier prompts must include indirect expressions. Often co-occurs with T02 and T09.","too short, short game, padded, filler, not enough content, DLC-length, finished in a weekend, barely any content"
T02,Price-to-Value Perception,37,,False,False,"Reviews where the central complaint is the perceived mismatch between the retail price ($60-$70) and what the game delivers. Often frames the game as DLC-priced content sold as a full title, or explicitly mentions feeling ripped off or requesting a refund.","Explicit mention of price ($60, $70, 60€) as unjustified; Statements of regret over purchase; Comparisons to DLC pricing expectations; Calls to buy only on sale; Refund requests",Short game length as standalone critique (no price mention) -> T01; Comparisons to DL1/DL2 scope without price mention -> T01,"""Right off the bat ill say that this game really should have stayed as DLC."" [943 votes, 18h] | ""Just DLC for 60€. Not worth 60€, 40€ is a much better price."" [40 votes, 7h]",Most robustly detected theme across all sampling strata (37% keyword match). Stable convergence. Apply when negative sentiment is primarily anchored to the purchase price. Can co-exist with T01.,"price, $60, $70, 60€, not worth, refund, rip off, overpriced, DLC price, full price"
T03,World Design & Map Size,3,20,False,False,"Complaints about the physical size or variety of the game world: only one map where two was the series norm, a world that feels too small for the price/expectation, too much open wilderness with insufficient parkour-friendly urban areas, or repetitive environmental assets.",World described as too small for a full-priced game; Expectation of two maps based on DL1/DL2 precedent; Open wilderness areas described as empty or uninteresting; Too few urban zones for parkour; Lack of environmental variety,"No fast travel making traversal tedious -> T12; World content (quests, activities) being sparse -> T01; Parkour movement design -> T17","""For starters there's only one map, as opposed to the two maps that's become standard for the series. The rest is just wilderness."" [943 votes, 18h]","WARNING: Keyword rate (3%) severely underestimates true prevalence (~20%). Map size complaints use varied language: 'wilderness', 'empty', 'one area'. Classifier must detect paraphrases. Often co-occurs with T12 and T01.","small map, one map, tiny map, empty world, open wilderness, single map, map size, not enough urban, too much wilderness"
T04,Story & Narrative Quality,25,,True,False,"Critique of the game's narrative execution: the main plot being predictable or clichéd, the villain (Baron) being under-developed, supporting characters being flat, fetch-quest structure dominating story missions, plot inconsistencies, or a weak/anti-climactic ending.","Predictable or clichéd main plot; Villain (Baron) under-developed or not threatening; Flat/forgettable supporting characters; Story missions structured as boring fetch quests; Plot holes or inconsistencies; Weak/rushed/anti-climactic ending; NPC quality (dumb NPCs, lifeless world)",Short story length as content-volume complaint -> T01; Boss fights being repetitive -> T08; Fetch quest structure as mission variety issue -> T09,"""The story is straightforward, lacking meaningful choices, with flat supporting characters and a weak antagonist."" [68 votes, 21h] | ""When you defeat the Hybrid Baron instead of some awesome beast-against-beast finale, we get a lame flashback."" [453 votes, 25h]","DIVERGES: Top-80 reviews = 40%, low-voted = 25%. Root cause: analytical reviewers use specific story critique vocabulary; lower-voted reviewers express dissatisfaction indirectly. Polarity scoping required — distinguish negative story critique from positive mention. True prevalence ~25%.","story is weak, plot, villain, baron, predictable, cliché, flat characters, weak ending, fetch quest, narrative, writing, NPC, boring story"
T05,Progression & Skill System,18,,False,False,"Dissatisfaction with how player characters grow over time: removal of parkour XP, a skill tree perceived as sparse or filled with reused abilities, slow or unsatisfying levelling pace, or the progression loop feeling unrewarding.","No XP awarded for parkour actions (regressed from DL1); Skill tree described as bare-bones, empty, or recycled; Slow XP/levelling pace; Beast skills unlockable too slowly; Forced skill path; Lack of meaningful build diversity","Beast Mode mechanics (feel in combat) -> T06; Weapon upgrade/crafting economy -> T11; Difficulty curve from enemy scaling -> T14; Parkour movement design (feel, momentum) -> T17","""XP gains for differing actions were CUT. You get XP for killing mobs and completing quests. NO MORE PARKOUR EXP."" [824 votes, 2h] | ""Skill tree — a joke. Just the same stuff from DL1, just locked now."" [55 votes, 15h]",Converges. T05=XP/levelling/skill-tree architecture. T06=Beast Mode feel. T17=parkour movement design. All three can co-occur.,"skill tree, XP, parkour XP, no XP for parkour, progression, leveling, skill points, bare bones skills, reused skills"
T06,Beast Mode Mechanics,14,,False,False,"Critique of Beast Mode as a gameplay mechanic: feeling shallow (primarily punching), becoming repetitive quickly, poor integration with combat variety, underpowered abilities relative to its narrative importance.",Beast Mode described as one-dimensional (just punching/brawling); Beast abilities feeling gimmicky or underpowered; Mode becomes boring after initial novelty; Weak integration with story climax or final boss; Beast skill variety insufficient,Beast skill tree unlocking being slow -> T05; Final boss as narrative letdown -> T04; Chimera boss fights being repetitive -> T08,"""Beast mode skills having different features other than punching stuff (mainly what you'll do)."" [338 votes, 18h] | ""Cool for the first hour but the beast mode skills are just whatever."" [60 votes, 26h]",Converges. Apply when reviewer addresses Beast Mode as a mechanic that underdelivers. Distinguish from T05 (unlock system) and T08 (Chimera boss fights). Can co-occur with T04 if narrative payoff disappointed.,"beast mode, beast form, just punching, beast skills shallow, beast transform, beast abilities, beast mode boring"
T07,Night Cycle & Atmosphere,6,15,False,False,"Complaints about the night cycle failing to deliver the tension, incentive, or unique gameplay loop that defined DL1: insufficient rewards for venturing out at night, Dark Zones being equally accessible day and night, Volatile density that feels annoying rather than scary.",Little or no incentive to go out at night; Dark Zones accessible and identical day/night; Volatiles too densely packed (annoyance over fear); Loss of DL1 night tension/stealth; Night as mandatory obstacle not compelling choice; 2x XP insufficient motivation,Volatiles as combat difficulty -> T14; Technical bugs related to night -> T10; Dark Zone loot rewards being flat -> T11,"""There is no incentive to go out at night. Dark zones are the same day and night."" [24 votes, 46h] | ""Nights are harder but not scarier. The volatile spawn is so dense it takes away the scary factor."" [24 votes, 46h]","WARNING: Keyword rate (6%) underestimates true prevalence (~15%). Strong franchise-context theme, almost always references DL1 comparison. Night too difficult -> T14. No reason to go out at night -> T07.","no incentive at night, dark zones same day night, volatiles too many, night cycle boring, no reason to go at night, DL1 night better"
T08,Boss & Enemy Encounter Design,16,,False,False,"Criticism of how enemy encounters and boss fights are designed: too few boss archetypes reused, boss fights lacking variety, repetitive kill animations, weak or anti-climactic final boss, or enemy AI being frustrating (dodge-spam, broken hitboxes).",Only 2-3 boss types recycled; Boss fights requiring no strategy; Repetitive finishing animations; Final boss as mechanical/narrative letdown; Human enemy AI excessively dodging; Enemy hitboxes broken; Level-scaling making enemies spongy,Combat system depth/weapon feel (non-boss) -> T14; Beast Mode attacks during boss fights -> T06; Bugs causing boss immortality -> T10,"""There are about 3 boss types that the game reuses throughout the story. I despise the bosses."" [943 votes, 18h] | ""Killing the Chimeras ends up being the same fights with no weaknesses — just hit it till it dies."" [66 votes, 24h]",Converges. Boss fights as narrative letdowns -> T04+T08 both. Bugs causing boss immortality -> T10 not T08.,"boss types, boss fights boring, same boss, boss design, boss fight repetitive, final boss, enemy AI, hitboxes, enemies dodge too much, chimera fight"
T09,Mission Design & Activity Repetitiveness,11,,False,False,"Dissatisfaction with how quests and open-world activities are structured: excessive fetch quests, point-A-to-B-to-A padding, Dark Zones lacking variety, the same mission template reused, or the open world feeling hollow.",Story missions as fetch quests/running errands; Point A->B->A mission structure; Dark Zones as repetitive template-driven activities; Open world lacking unique encounters; Side quests generic or forgettable; Activity variety insufficient,"Game length being short overall -> T01; Story quality (writing, characters) -> T04; Boss fights being repetitive -> T08","""A huge portion of this game's story is annoying (and boring) boss fights and fetch quests."" [943 votes, 18h] | ""The story is repetitive, framed around hunting chimeras and doing similar tasks for survivor groups."" [195 votes, 24h]",Converges. T09=HOW quests are designed (structure and variety). T01=how many there are. T04=how well the story is written.,"repetitive quests, fetch quest, point A to B, same mission, same activity, dark zone repetitive, mission variety, copy paste quests"
T10,Technical Issues & Bugs,31,,False,False,"Reports of technical malfunctions: game crashes, parkour movement bugs (missed ledge grabs), visual glitches (indoor rain, permanent day/night), co-op synchronisation issues, and quest-trigger bugs that prevent completion.",Game crashes during/after cutscenes; Parkour ledge-grab failures (distinct from design critique); Visual bugs; Co-op state desynchronisation; Quest/interaction bugs blocking progress; Enemy immortality glitches; Performance drops/stutters,Parkour momentum/design critique (not a malfunction) -> T17; Save system design complaints (intentional) -> T15; Co-op design/balance issues (not bugs) -> T13,"""Parkour is bugged. Sometimes Crane gets bugged during parkour and glitches, lets go, or just slides down a wall instead of grabbing the ledges."" [453 votes, 25h] | ""Random crashes during cutscenes. Raining indoors, permanent day/night visually."" [104 votes, 22h]",Converges strongly. KEY DISTINCTION vs T17: T10=parkour fails unexpectedly (ledge grab bug); T17=parkour consistently feels sluggish by design. Both may apply if reviewer conflates.,"bug, crash, glitch, bugged parkour, ledge grab fail, stutter, FPS drop, visual bug, indoor rain, permanent night bug, quest bug, broken, freeze"
